year,annual_mean_pct,method
2002,10.894423076923077,unweighted_mean
2003,11.128701923076923,unweighted_mean
2004,10.943942307692309,unweighted_mean
2005,9.610961538461538,unweighted_mean
2006,8.921586538461538,unweighted_mean
2007,8.480721153846154,unweighted_mean
2008,11.290528846153846,unweighted_mean
2009,17.17610576923077,unweighted_mean
2010,19.259134615384617,unweighted_mean
2011,20.91759615384615,unweighted_mean
2012,24.653701923076923,unweighted_mean
2013,26.1325,unweighted_mean
2014,24.65355769230769,unweighted_mean
2015,22.239663461538463,unweighted_mean
2016,19.765961538461536,unweighted_mean
2017,17.45451923076923,unweighted_mean
2018,15.666875000000001,unweighted_mean
2019,14.541009615384617,unweighted_mean
2020,15.458076923076923,unweighted_mean
2021,14.994182692307692,unweighted_mean
2022,13.319423076923076,unweighted_mean
2023,12.674230769230768,unweighted_mean
2024,12.0175,unweighted_mean
